Contract Name,Bid,Strike,Last Price,Last Trade Date,Implied Volatility,DateTime
SPY200129C00280000,47.87,280.0,42.65,2020-01-06 12:15PM EST,135.16%,2020-01-06 12:15PM EST
SPY200129C00300000,27.92,300.0,27.0,2020-01-27 3:42PM EST,83.20%,2020-01-27 3:42PM EST
SPY200129C00301000,26.93,301.0,22.96,2020-01-27 3:41PM EST,81.84%,2020-01-27 3:41PM EST
SPY200129C00302000,25.93,302.0,26.4,2020-01-10 9:37AM EST,78.52%,2020-01-10 9:37AM EST
SPY200129C00303000,24.92,303.0,23.84,2020-01-28 1:05PM EST,75.39%,2020-01-28 1:05PM EST
SPY200129C00305000,22.95,305.0,21.44,2020-01-28 10:25AM EST,72.85%,2020-01-28 10:25AM EST
SPY200129C00308000,19.92,308.0,18.84,2020-01-24 2:58PM EST,61.91%,2020-01-24 2:58PM EST
SPY200129C00309000,18.92,309.0,15.69,2020-01-27 9:50AM EST,59.18%,2020-01-27 9:50AM EST
SPY200129C00310000,17.95,310.0,17.75,2020-01-29 10:57AM EST,58.98%,2020-01-29 10:57AM EST
SPY200129C00312000,15.93,312.0,14.56,2020-01-21 3:36PM EST,51.76%,2020-01-21 3:36PM EST
SPY200129C00314000,13.93,314.0,12.91,2020-01-29 10:04AM EST,48.63%,2020-01-29 10:04AM EST
SPY200129C00315000,12.91,315.0,12.74,2020-01-29 11:50AM EST,45.70%,2020-01-29 11:50AM EST
SPY200129C00316000,11.92,316.0,11.05,2020-01-28 11:54AM EST,43.95%,2020-01-28 11:54AM EST
SPY200129C00317000,10.92,317.0,10.83,2020-01-29 11:23AM EST,41.41%,2020-01-29 11:23AM EST
SPY200129C00318000,9.91,318.0,9.72,2020-01-28 2:11PM EST,36.91%,2020-01-28 2:11PM EST
SPY200129C00319000,8.95,319.0,9.01,2020-01-29 12:22PM EST,33.89%,2020-01-29 12:22PM EST
SPY200129C00320000,7.91,320.0,7.78,2020-01-29 11:17AM EST,30.76%,2020-01-29 11:17AM EST
SPY200129C00321000,6.96,321.0,6.97,2020-01-29 12:23PM EST,27.25%,2020-01-29 12:23PM EST
SPY200129C00322000,5.94,322.0,5.94,2020-01-29 12:08PM EST,23.24%,2020-01-29 12:08PM EST
SPY200129C00323000,4.96,323.0,5.1,2020-01-29 12:19PM EST,21.29%,2020-01-29 12:19PM EST
SPY200129C00324000,4.00,324.0,4.05,2020-01-29 12:15PM EST,17.63%,2020-01-29 12:15PM EST
SPY200129C00325000,3.01,325.0,3.02,2020-01-29 12:08PM EST,14.80%,2020-01-29 12:08PM EST
SPY200129C00326000,2.09,326.0,2.11,2020-01-29 12:23PM EST,13.06%,2020-01-29 12:23PM EST
SPY200129C00327000,1.27,327.0,1.26,2020-01-29 12:20PM EST,11.45%,2020-01-29 12:20PM EST
SPY200129C00328000,0.58,328.0,0.59,2020-01-29 12:23PM EST,9.47%,2020-01-29 12:23PM EST
SPY200129C00329000,0.17,329.0,0.19,2020-01-29 12:22PM EST,8.37%,2020-01-29 12:22PM EST
SPY200129C00330000,0.00,330.0,0.05,2020-01-29 12:16PM EST,3.13%,2020-01-29 12:16PM EST
SPY200129C00331000,0.00,331.0,0.01,2020-01-29 12:23PM EST,6.25%,2020-01-29 12:23PM EST
SPY200129C00332000,0.00,332.0,0.01,2020-01-29 12:12PM EST,6.25%,2020-01-29 12:12PM EST
SPY200129C00333000,0.00,333.0,0.01,2020-01-29 10:51AM EST,6.25%,2020-01-29 10:51AM EST
SPY200129C00334000,0.54,334.0,0.01,2020-01-29 10:51AM EST,6.25%,2020-01-29 10:51AM EST
SPY200129C00335000,0.01,335.0,0.01,2020-01-29 9:49AM EST,12.50%,2020-01-29 9:49AM EST
SPY200129C00336000,0.12,336.0,0.01,2020-01-28 10:17AM EST,12.50%,2020-01-28 10:17AM EST
SPY200129C00337000,0.05,337.0,0.01,2020-01-29 12:07PM EST,12.50%,2020-01-29 12:07PM EST
SPY200129C00338000,0.02,338.0,0.01,2020-01-29 9:35AM EST,12.50%,2020-01-29 9:35AM EST
SPY200129C00339000,0.02,339.0,0.01,2020-01-24 1:50PM EST,12.50%,2020-01-24 1:50PM EST
SPY200129C00340000,0.01,340.0,0.01,2020-01-28 10:02AM EST,12.50%,2020-01-28 10:02AM EST
SPY200129C00341000,0.01,341.0,0.01,2020-01-23 2:28PM EST,12.50%,2020-01-23 2:28PM EST
SPY200129C00342000,0.00,342.0,0.01,2020-01-24 10:05AM EST,25.00%,2020-01-24 10:05AM EST
SPY200129C00343000,0.01,343.0,0.01,2020-01-24 11:36AM EST,25.00%,2020-01-24 11:36AM EST
SPY200129C00345000,0.00,345.0,0.01,2020-01-17 3:55PM EST,25.00%,2020-01-17 3:55PM EST
SPY200129C00348000,-,348.0,0.01,2020-01-22 1:36PM EST,25.00%,2020-01-22 1:36PM EST
SPY200129C00350000,0.00,350.0,0.02,2020-01-24 10:23AM EST,25.00%,2020-01-24 10:23AM EST
SPY200131C00255000,69.82,255.0,69.0,2020-01-22 2:18PM EST,245.31%,2020-01-22 2:18PM EST
SPY200131C00260000,65.29,260.0,68.27,2020-01-30 4:13PM EST,258.59%,2020-01-30 4:13PM EST
SPY200131C00265000,59.94,265.0,67.79,2020-01-22 9:46AM EST,216.80%,2020-01-22 9:46AM EST
SPY200131C00270000,54.79,270.0,54.49,2020-01-30 1:16PM EST,187.89%,2020-01-30 1:16PM EST
SPY200131C00275000,49.84,275.0,50.34,2020-01-30 12:02PM EST,181.64%,2020-01-30 12:02PM EST
SPY200131C00277500,47.32,277.5,46.44,2020-01-03 1:00PM EST,166.21%,2020-01-03 1:00PM EST
SPY200131C00280000,44.84,280.0,44.15,2020-01-24 1:57PM EST,165.14%,2020-01-24 1:57PM EST
SPY200131C00281000,43.90,281.0,45.42,2020-01-30 3:26PM EST,160.55%,2020-01-30 3:26PM EST
SPY200131C00281500,43.58,281.5,43.82,2020-01-29 4:05PM EST,169.82%,2020-01-29 4:05PM EST
SPY200131C00282500,42.40,282.5,47.4,2020-01-24 12:02PM EST,155.66%,2020-01-24 12:02PM EST
SPY200131C00285000,39.94,285.0,42.45,2020-01-28 12:33PM EST,150.00%,2020-01-28 12:33PM EST
SPY200131C00286000,39.29,286.0,38.32,2020-01-30 12:57PM EST,164.84%,2020-01-30 12:57PM EST
SPY200131C00287000,37.89,287.0,39.54,2020-01-13 12:27PM EST,139.06%,2020-01-13 12:27PM EST
SPY200131C00288000,37.30,288.0,39.47,2020-01-28 12:19PM EST,158.20%,2020-01-28 12:19PM EST
SPY200131C00289000,35.83,289.0,35.7,2020-01-29 3:14PM EST,129.30%,2020-01-29 3:14PM EST
SPY200131C00290000,34.82,290.0,34.23,2020-01-30 1:22PM EST,126.17%,2020-01-30 1:22PM EST
SPY200131C00291000,34.29,291.0,33.42,2020-01-30 1:06PM EST,147.07%,2020-01-30 1:06PM EST
SPY200131C00292000,32.93,292.0,32.55,2020-01-30 1:04PM EST,127.34%,2020-01-30 1:04PM EST
SPY200131C00292500,32.43,292.5,29.67,2019-12-31 10:04AM EST,124.81%,2019-12-31 10:04AM EST
SPY200131C00293000,31.78,293.0,31.54,2020-01-30 1:05PM EST,113.77%,2020-01-30 1:05PM EST
SPY200131C00294000,37.78,294.0,26.81,2019-12-19 11:23AM EST,290.06%,2019-12-19 11:23AM EST
SPY200131C00295000,30.16,295.0,32.08,2020-01-27 12:08PM EST,126.86%,2020-01-27 12:08PM EST
SPY200131C00296000,29.17,296.0,28.15,2020-01-14 2:54PM EST,123.19%,2020-01-14 2:54PM EST
SPY200131C00296500,28.34,296.5,30.44,2020-01-10 11:31AM EST,107.13%,2020-01-10 11:31AM EST
SPY200131C00297000,29.50,297.0,25.38,2019-12-31 10:02AM EST,161.47%,2019-12-31 10:02AM EST
SPY200131C00297500,27.36,297.5,26.71,2019-12-31 9:42AM EST,104.98%,2019-12-31 9:42AM EST
SPY200131C00298000,27.32,298.0,26.21,2020-01-30 12:54PM EST,122.66%,2020-01-30 12:54PM EST
SPY200131C00298500,26.40,298.5,23.71,2019-12-31 12:58PM EST,102.34%,2019-12-31 12:58PM EST
SPY200131C00299000,26.16,299.0,25.41,2020-01-30 1:15PM EST,112.70%,2020-01-30 1:15PM EST
SPY200131C00300000,25.38,300.0,25.26,2020-01-31 10:20AM EST,114.16%,2020-01-31 10:20AM EST
SPY200131C00301000,23.86,301.0,23.93,2020-01-30 2:10PM EST,93.65%,2020-01-30 2:10PM EST
SPY200131C00302000,23.16,302.0,25.08,2020-01-30 2:51PM EST,101.95%,2020-01-30 2:51PM EST
SPY200131C00302500,29.30,302.5,18.29,2019-12-18 1:15PM EST,244.02%,2019-12-18 1:15PM EST
SPY200131C00303000,21.83,303.0,21.93,2020-01-30 2:36PM EST,84.96%,2020-01-30 2:36PM EST
SPY200131C00303500,28.31,303.5,17.37,2019-12-18 2:32PM EST,238.53%,2019-12-18 2:32PM EST
SPY200131C00304000,20.87,304.0,23.81,2020-01-30 3:59PM EST,83.89%,2020-01-30 3:59PM EST
SPY200131C00304500,20.80,304.5,19.83,2020-01-27 3:30PM EST,98.58%,2020-01-27 3:30PM EST
SPY200131C00305000,20.12,305.0,20.47,2020-01-30 2:52PM EST,89.84%,2020-01-30 2:52PM EST
SPY200131C00305500,26.59,305.5,18.71,2019-12-26 11:02AM EST,231.76%,2019-12-26 11:02AM EST
SPY200131C00306000,19.02,306.0,22.09,2020-01-29 12:23PM EST,83.40%,2020-01-29 12:23PM EST
SPY200131C00306500,18.79,306.5,20.52,2020-01-10 2:14PM EST,91.16%,2020-01-10 2:14PM EST
SPY200131C00307000,17.87,307.0,19.95,2020-01-29 3:55PM EST,73.73%,2020-01-29 3:55PM EST
SPY200131C00307500,17.29,307.5,20.11,2020-01-29 3:08PM EST,68.75%,2020-01-29 3:08PM EST
SPY200131C00308000,16.86,308.0,17.78,2020-01-31 9:46AM EST,70.61%,2020-01-31 9:46AM EST
SPY200131C00308500,16.40,308.5,16.8,2020-01-30 9:58AM EST,69.34%,2020-01-30 9:58AM EST
SPY200131C00309000,15.94,309.0,15.71,2020-01-27 11:58AM EST,69.63%,2020-01-27 11:58AM EST
SPY200131C00309500,15.40,309.5,14.61,2020-01-10 2:12PM EST,66.94%,2020-01-10 2:12PM EST
SPY200131C00310000,14.91,310.0,17.04,2020-01-30 3:59PM EST,65.23%,2020-01-30 3:59PM EST
SPY200131C00310500,14.44,310.5,14.9,2020-01-30 12:01PM EST,64.75%,2020-01-30 12:01PM EST
SPY200131C00311000,13.85,311.0,13.38,2020-01-29 2:34PM EST,59.18%,2020-01-29 2:34PM EST
SPY200131C00311500,13.36,311.5,12.61,2020-01-28 3:51PM EST,58.59%,2020-01-28 3:51PM EST
SPY200131C00312000,13.42,312.0,14.07,2020-01-31 9:58AM EST,70.75%,2020-01-31 9:58AM EST
SPY200131C00312500,12.44,312.5,13.55,2020-01-30 10:26AM EST,57.72%,2020-01-30 10:26AM EST
SPY200131C00313000,11.86,313.0,13.18,2020-01-30 3:07PM EST,52.54%,2020-01-30 3:07PM EST
SPY200131C00313500,11.34,313.5,14.09,2020-01-29 10:46AM EST,50.49%,2020-01-29 10:46AM EST
SPY200131C00314000,10.86,314.0,13.38,2020-01-30 3:53PM EST,52.98%,2020-01-30 3:53PM EST
SPY200131C00314500,10.38,314.5,10.95,2020-01-30 11:49AM EST,51.76%,2020-01-30 11:49AM EST
SPY200131C00315000,10.02,315.0,10.32,2020-01-31 10:24AM EST,50.93%,2020-01-31 10:24AM EST
SPY200131C00315500,9.44,315.5,8.65,2020-01-30 9:56AM EST,50.78%,2020-01-30 9:56AM EST
SPY200131C00316000,8.92,316.0,8.17,2020-01-30 12:45PM EST,46.73%,2020-01-30 12:45PM EST
SPY200131C00316500,8.44,316.5,8.02,2020-01-30 12:52PM EST,46.39%,2020-01-30 12:52PM EST
SPY200131C00317000,8.25,317.0,9.08,2020-01-31 9:45AM EST,47.36%,2020-01-31 9:45AM EST
SPY200131C00317500,7.82,317.5,7.82,2020-01-30 2:27PM EST,50.78%,2020-01-30 2:27PM EST
SPY200131C00318000,6.96,318.0,7.44,2020-01-31 10:22AM EST,40.92%,2020-01-31 10:22AM EST
SPY200131C00318500,6.47,318.5,8.17,2020-01-30 3:26PM EST,38.43%,2020-01-30 3:26PM EST
SPY200131C00319000,6.03,319.0,6.97,2020-01-31 9:58AM EST,34.77%,2020-01-31 9:58AM EST
SPY200131C00319500,5.46,319.5,7.15,2020-01-30 3:33PM EST,33.84%,2020-01-30 3:33PM EST
SPY200131C00320000,4.99,320.0,5.19,2020-01-31 10:20AM EST,29.10%,2020-01-31 10:20AM EST
SPY200131C00320500,4.76,320.5,8.1,2020-01-30 4:04PM EST,35.50%,2020-01-30 4:04PM EST
SPY200131C00321000,4.15,321.0,4.47,2020-01-31 10:22AM EST,28.22%,2020-01-31 10:22AM EST
SPY200131C00321500,3.86,321.5,6.5,2020-01-30 3:59PM EST,29.98%,2020-01-30 3:59PM EST
SPY200131C00322000,3.39,322.0,3.18,2020-01-31 10:17AM EST,27.52%,2020-01-31 10:17AM EST
SPY200131C00322500,2.78,322.5,2.76,2020-01-31 10:14AM EST,23.27%,2020-01-31 10:14AM EST
SPY200131C00323000,2.51,323.0,2.67,2020-01-31 10:26AM EST,23.88%,2020-01-31 10:26AM EST
SPY200131C00323500,1.86,323.5,2.13,2020-01-31 10:24AM EST,18.70%,2020-01-31 10:24AM EST
SPY200131C00324000,1.54,324.0,1.86,2020-01-31 10:26AM EST,18.26%,2020-01-31 10:26AM EST
SPY200131C00324500,1.44,324.5,1.19,2020-01-31 10:28AM EST,20.95%,2020-01-31 10:28AM EST
SPY200131C00325000,0.93,325.0,0.9,2020-01-31 10:28AM EST,16.80%,2020-01-31 10:28AM EST
SPY200131C00325500,0.67,325.5,0.71,2020-01-31 10:27AM EST,15.77%,2020-01-31 10:27AM EST
SPY200131C00326000,0.49,326.0,0.42,2020-01-31 10:28AM EST,15.53%,2020-01-31 10:28AM EST
SPY200131C00326500,0.26,326.5,0.27,2020-01-31 10:28AM EST,13.62%,2020-01-31 10:28AM EST
SPY200131C00327000,0.17,327.0,0.16,2020-01-31 10:28AM EST,13.58%,2020-01-31 10:28AM EST
SPY200131C00327500,0.11,327.5,0.13,2020-01-31 10:24AM EST,13.67%,2020-01-31 10:24AM EST
SPY200131C00328000,0.06,328.0,0.06,2020-01-31 10:28AM EST,13.43%,2020-01-31 10:28AM EST
SPY200131C00328500,0.04,328.5,0.05,2020-01-31 10:25AM EST,13.87%,2020-01-31 10:25AM EST
SPY200131C00329000,0.02,329.0,0.03,2020-01-31 10:26AM EST,13.87%,2020-01-31 10:26AM EST
SPY200131C00329500,0.01,329.5,0.01,2020-01-31 10:28AM EST,14.26%,2020-01-31 10:28AM EST
SPY200131C00330000,0.01,330.0,0.01,2020-01-31 10:27AM EST,15.43%,2020-01-31 10:27AM EST
SPY200131C00330500,0.00,330.5,0.01,2020-01-31 10:21AM EST,15.24%,2020-01-31 10:21AM EST
SPY200131C00331000,0.00,331.0,0.01,2020-01-31 10:21AM EST,16.02%,2020-01-31 10:21AM EST
SPY200131C00331500,0.00,331.5,0.01,2020-01-31 9:47AM EST,17.19%,2020-01-31 9:47AM EST
SPY200131C00332000,0.03,332.0,0.01,2020-01-31 9:59AM EST,18.36%,2020-01-31 9:59AM EST
SPY200131C00332500,0.02,332.5,0.01,2020-01-31 9:43AM EST,19.53%,2020-01-31 9:43AM EST
SPY200131C00333000,0.01,333.0,0.01,2020-01-31 10:14AM EST,20.31%,2020-01-31 10:14AM EST
SPY200131C00333500,0.01,333.5,0.01,2020-01-30 4:14PM EST,21.49%,2020-01-30 4:14PM EST
SPY200131C00334000,0.01,334.0,0.01,2020-01-31 9:53AM EST,22.66%,2020-01-31 9:53AM EST
SPY200131C00334500,0.01,334.5,0.01,2020-01-30 1:40PM EST,23.44%,2020-01-30 1:40PM EST
SPY200131C00335000,0.00,335.0,0.01,2020-01-31 9:33AM EST,24.61%,2020-01-31 9:33AM EST
SPY200131C00335500,0.00,335.5,0.01,2020-01-30 10:50AM EST,25.78%,2020-01-30 10:50AM EST
SPY200131C00336000,0.00,336.0,0.01,2020-01-30 3:04PM EST,26.56%,2020-01-30 3:04PM EST
SPY200131C00336500,0.00,336.5,0.01,2020-01-30 10:50AM EST,27.34%,2020-01-30 10:50AM EST
SPY200131C00337000,0.00,337.0,0.01,2020-01-30 2:27PM EST,28.91%,2020-01-30 2:27PM EST
SPY200131C00337500,0.00,337.5,0.01,2020-01-31 9:43AM EST,29.69%,2020-01-31 9:43AM EST
SPY200131C00338000,0.08,338.0,0.01,2020-01-30 3:04PM EST,30.47%,2020-01-30 3:04PM EST
SPY200131C00338500,0.01,338.5,0.01,2020-01-28 12:41PM EST,31.64%,2020-01-28 12:41PM EST
SPY200131C00339000,0.03,339.0,0.01,2020-01-28 2:38PM EST,32.81%,2020-01-28 2:38PM EST
SPY200131C00339500,0.02,339.5,0.01,2020-01-24 11:54AM EST,33.59%,2020-01-24 11:54AM EST
SPY200131C00340000,0.01,340.0,0.01,2020-01-30 4:01PM EST,34.38%,2020-01-30 4:01PM EST
SPY200131C00340500,0.01,340.5,0.01,2020-01-24 3:57PM EST,35.94%,2020-01-24 3:57PM EST
SPY200131C00341000,0.01,341.0,0.01,2020-01-30 3:45PM EST,36.72%,2020-01-30 3:45PM EST
SPY200131C00341500,-,341.5,0.01,2020-01-24 1:22PM EST,37.50%,2020-01-24 1:22PM EST
SPY200131C00342000,0.01,342.0,0.01,2020-01-29 9:52AM EST,38.28%,2020-01-29 9:52AM EST
SPY200131C00342500,0.00,342.5,0.01,2020-01-28 3:59PM EST,39.06%,2020-01-28 3:59PM EST
SPY200131C00343000,0.00,343.0,0.02,2020-01-22 11:37AM EST,40.63%,2020-01-22 11:37AM EST
SPY200131C00344000,0.00,344.0,0.01,2020-01-22 10:25AM EST,42.19%,2020-01-22 10:25AM EST
SPY200131C00345000,0.01,345.0,0.01,2020-01-27 3:50PM EST,43.75%,2020-01-27 3:50PM EST
SPY200131C00346000,0.01,346.0,0.01,2020-01-24 3:38PM EST,46.09%,2020-01-24 3:38PM EST
SPY200131C00347000,0.00,347.0,0.01,2020-01-17 3:40PM EST,47.66%,2020-01-17 3:40PM EST
SPY200131C00347500,0.00,347.5,0.01,2020-01-21 3:50PM EST,48.44%,2020-01-21 3:50PM EST
SPY200131C00350000,0.00,350.0,0.01,2020-01-27 1:46PM EST,50.00%,2020-01-27 1:46PM EST
SPY200131C00352500,0.00,352.5,0.02,2019-12-30 11:08AM EST,53.13%,2019-12-30 11:08AM EST
SPY200131C00355000,0.00,355.0,0.01,2020-01-16 2:07PM EST,57.81%,2020-01-16 2:07PM EST
SPY200131C00365000,-,365.0,0.01,2020-01-30 3:51PM EST,79.69%,2020-01-30 3:51PM EST
SPY200131C00370000,-,370.0,0.01,2020-01-30 11:05PM EST,87.50%,2020-01-30 11:05PM EST
SPY200203C00270000,52.15,270.0,51.7,2020-01-31 3:46PM EST,113.72%,2020-01-31 3:46PM EST
SPY200203C00275000,47.15,275.0,49.01,2020-01-03 12:36PM EST,103.86%,2020-01-03 12:36PM EST
SPY200203C00280000,42.16,280.0,42.76,2020-01-06 12:03PM EST,94.43%,2020-01-06 12:03PM EST
SPY200203C00285000,37.17,285.0,37.82,2020-01-06 12:01PM EST,84.77%,2020-01-06 12:01PM EST
SPY200203C00290000,32.19,290.0,31.18,2020-01-31 3:39PM EST,75.39%,2020-01-31 3:39PM EST
SPY200203C00296000,26.21,296.0,26.25,2020-01-30 10:26AM EST,63.97%,2020-01-30 10:26AM EST
SPY200203C00300000,22.23,300.0,21.19,2020-01-31 3:40PM EST,56.40%,2020-01-31 3:40PM EST
SPY200203C00302000,20.25,302.0,20.47,2020-01-30 11:05PM EST,52.73%,2020-01-30 11:05PM EST
SPY200203C00305000,17.28,305.0,18.73,2020-01-28 10:08AM EST,49.41%,2020-01-28 10:08AM EST
SPY200203C00307000,15.31,307.0,18.45,2020-01-03 3:50PM EST,45.53%,2020-01-03 3:50PM EST
SPY200203C00309000,13.35,309.0,13.05,2020-01-27 9:43AM EST,41.68%,2020-01-27 9:43AM EST
SPY200203C00310000,12.39,310.0,12.45,2020-01-31 4:10PM EST,39.70%,2020-01-31 4:10PM EST
SPY200203C00311000,11.43,311.0,11.16,2020-01-31 4:00PM EST,37.65%,2020-01-31 4:00PM EST
SPY200203C00312000,10.48,312.0,10.11,2020-01-31 3:44PM EST,35.96%,2020-01-31 3:44PM EST
SPY200203C00313000,9.54,313.0,11.2,2020-01-30 3:39PM EST,34.18%,2020-01-30 3:39PM EST
SPY200203C00314000,8.61,314.0,8.63,2020-01-31 4:12PM EST,32.30%,2020-01-31 4:12PM EST
SPY200203C00315000,7.71,315.0,7.6,2020-01-31 4:01PM EST,29.96%,2020-01-31 4:01PM EST
SPY200203C00316000,6.81,316.0,6.56,2020-01-31 3:58PM EST,28.54%,2020-01-31 3:58PM EST
SPY200203C00317000,5.94,317.0,5.94,2020-01-31 4:12PM EST,27.12%,2020-01-31 4:12PM EST
SPY200203C00318000,5.11,318.0,4.54,2020-01-31 3:59PM EST,25.66%,2020-01-31 3:59PM EST
SPY200203C00319000,4.31,319.0,4.37,2020-01-31 4:14PM EST,24.32%,2020-01-31 4:14PM EST
SPY200203C00320000,3.53,320.0,3.59,2020-01-31 4:13PM EST,22.97%,2020-01-31 4:13PM EST
SPY200203C00321000,2.82,321.0,2.81,2020-01-31 4:14PM EST,21.58%,2020-01-31 4:14PM EST
SPY200203C00322000,2.16,322.0,2.2,2020-01-31 4:14PM EST,20.12%,2020-01-31 4:14PM EST
SPY200203C00323000,1.57,323.0,1.59,2020-01-31 4:14PM EST,18.85%,2020-01-31 4:14PM EST
SPY200203C00324000,1.06,324.0,1.1,2020-01-31 4:14PM EST,17.44%,2020-01-31 4:14PM EST
SPY200203C00325000,0.66,325.0,0.69,2020-01-31 4:14PM EST,16.19%,2020-01-31 4:14PM EST
SPY200203C00326000,0.38,326.0,0.39,2020-01-31 4:14PM EST,15.02%,2020-01-31 4:14PM EST
SPY200203C00327000,0.20,327.0,0.2,2020-01-31 4:14PM EST,14.45%,2020-01-31 4:14PM EST
SPY200203C00327500,0.15,327.5,0.15,2020-01-31 4:14PM EST,14.21%,2020-01-31 4:14PM EST
SPY200203C00328000,0.10,328.0,0.11,2020-01-31 4:14PM EST,14.11%,2020-01-31 4:14PM EST
SPY200203C00328500,0.06,328.5,0.08,2020-01-31 4:10PM EST,13.77%,2020-01-31 4:10PM EST
SPY200203C00329000,0.05,329.0,0.05,2020-01-31 4:13PM EST,13.77%,2020-01-31 4:13PM EST
SPY200203C00329500,0.03,329.5,0.03,2020-01-31 4:14PM EST,13.58%,2020-01-31 4:14PM EST
SPY200203C00330000,0.02,330.0,0.02,2020-01-31 4:14PM EST,13.67%,2020-01-31 4:14PM EST
SPY200203C00330500,0.01,330.5,0.02,2020-01-31 3:57PM EST,13.48%,2020-01-31 3:57PM EST
SPY200203C00331000,0.00,331.0,0.01,2020-01-31 3:59PM EST,12.89%,2020-01-31 3:59PM EST
SPY200203C00331500,0.00,331.5,0.01,2020-01-31 4:11PM EST,13.67%,2020-01-31 4:11PM EST
SPY200203C00332000,0.01,332.0,0.02,2020-01-31 4:14PM EST,15.43%,2020-01-31 4:14PM EST
SPY200203C00332500,0.00,332.5,0.01,2020-01-31 3:26PM EST,14.84%,2020-01-31 3:26PM EST
SPY200203C00333000,0.01,333.0,0.01,2020-01-31 4:11PM EST,16.80%,2020-01-31 4:11PM EST
SPY200203C00333500,0.00,333.5,0.01,2020-01-31 3:28PM EST,16.02%,2020-01-31 3:28PM EST
SPY200203C00334000,0.00,334.0,0.01,2020-01-31 1:44PM EST,16.41%,2020-01-31 1:44PM EST
SPY200203C00334500,0.00,334.5,0.01,2020-01-30 4:05PM EST,17.19%,2020-01-30 4:05PM EST
SPY200203C00335000,0.02,335.0,0.01,2020-01-31 3:29PM EST,17.58%,2020-01-31 3:29PM EST
SPY200203C00336000,0.00,336.0,0.01,2020-01-31 3:40PM EST,18.75%,2020-01-31 3:40PM EST
SPY200203C00337000,0.00,337.0,0.01,2020-01-30 2:09PM EST,19.92%,2020-01-30 2:09PM EST
SPY200203C00338000,0.00,338.0,0.02,2020-01-29 2:36PM EST,21.09%,2020-01-29 2:36PM EST
SPY200203C00339000,0.06,339.0,0.01,2020-01-28 2:20PM EST,22.27%,2020-01-28 2:20PM EST
SPY200203C00340000,0.01,340.0,0.01,2020-01-28 2:48PM EST,23.44%,2020-01-28 2:48PM EST
SPY200203C00341000,0.01,341.0,0.01,2020-01-23 3:59PM EST,24.22%,2020-01-23 3:59PM EST
SPY200203C00342000,0.01,342.0,0.01,2020-01-29 11:40AM EST,25.78%,2020-01-29 11:40AM EST
SPY200203C00343000,0.01,343.0,0.01,2020-01-24 3:20PM EST,26.56%,2020-01-24 3:20PM EST
SPY200203C00344000,0.01,344.0,0.01,2020-01-22 3:40PM EST,27.74%,2020-01-22 3:40PM EST
SPY200203C00345000,0.00,345.0,0.03,2020-01-22 9:30AM EST,28.91%,2020-01-22 9:30AM EST
SPY200203C00346000,-,346.0,0.01,2020-01-21 2:05PM EST,29.69%,2020-01-21 2:05PM EST
SPY200203C00348000,0.00,348.0,0.01,2020-01-21 9:30AM EST,32.03%,2020-01-21 9:30AM EST
SPY200203C00350000,0.00,350.0,0.01,2020-01-24 12:47PM EST,34.38%,2020-01-24 12:47PM EST
SPY200203C00355000,0.00,355.0,0.01,2020-01-02 1:19PM EST,39.06%,2020-01-02 1:19PM EST
